resume_path,cosine_similarity,coverage_score,coverage_hits,coverage_total_terms,final_score
data/resumes/NPriya_Google_Grad2025.pdf,0.0577,0.2733,41,150,0.1439
data/resumes/NandwaniPriyanka_JPMorgan_Grad2025.pdf,0.0306,0.3133,47,150,0.1437
data/resumes/NandwaniPriyanka_InsightDevOps_Grad2025.pdf,0.0256,0.32,48,150,0.1433
data/resumes/NandwaniPriyanka_DoordashRobotics_Grad2025.pdf,0.0385,0.3,45,150,0.1431
data/resumes/NandwaniPriyanka_AIEngineerNVIDIA_Grad2025.pdf,0.0336,0.3067,46,150,0.1428
data/resumes/intro and experience.docx,0.0399,0.2933,44,150,0.1413
data/resumes/NandwaniPriyanka_Waymo_grad2025.pdf,0.0345,0.3,45,150,0.1407
data/resumes/NandwaniPriyanka_GlossGenius_grad2025.pdf,0.0295,0.3067,46,150,0.1403
data/resumes/NandwaniPriyanka_Fourier_Grad2025.pdf,0.0238,0.3133,47,150,0.1396
data/resumes/NandwaniPriyanka_CGI_Grad2025.pdf,0.0357,0.2933,44,150,0.1388
data/resumes/NandwaniPriyanka_BDSoftwareEngineer_2025.pdf,0.027,0.3067,46,150,0.1388
data/resumes/NandwaniPriyanka_GoliathPartners_Grad2025.pdf,0.0298,0.3,45,150,0.1379
data/resumes/NandwaniPriyanka_EarlyCareer_Grad2025.pdf,0.0247,0.3067,46,150,0.1375
data/resumes/NandwaniPriyanka_AppCard_Grad2025.pdf,0.0241,0.3067,46,150,0.1371
data/resumes/PriyaNN_Mathworks_EDG2026.pdf,0.0386,0.28,42,150,0.1351
data/resumes/NandwaniPriyanka_StateFarm_grad2025.pdf,0.0372,0.28,42,150,0.1343
data/resumes/NandwaniPriyanka_JavaSDE_Grad2025.pdf,0.034,0.28,42,150,0.1324
data/resumes/NandwaniPriyanka_ViaPlus_Grad2025.pdf,0.0197,0.3,45,150,0.1318
data/resumes/NandwaniPriyanka_Insight_Grad2025.pdf,0.0242,0.2933,44,150,0.1318
data/resumes/NandwaniPriyanka_Paypal_Grad2025.pdf,0.0303,0.28,42,150,0.1302
data/resumes/NandwaniPriyanka_LightandWonder_Grad2025.pdf,0.0477,0.2467,37,150,0.1273
data/resumes/NiPriyanka_LightandWonder_Grad2025.pdf,0.0476,0.2467,37,150,0.1272
data/resumes/NandwaniPriyanka_Discord_Grad2025.pdf,0.0253,0.28,42,150,0.1272
data/resumes/Priyanka Nandwani EY Coverletter.pdf,0.038,0.26,39,150,0.1268
data/resumes/NandwaniPriyanka_WaymoSE_Grad2025.pdf,0.03,0.26,39,150,0.122
data/resumes/NandwaniPriyanka_Amex_Grad2025.pdf,0.0443,0.2333,35,150,0.1199
data/resumes/NandwaniPriyanka_Databricks_Grad2025.pdf,0.0219,0.26,39,150,0.1171
data/resumes/NandwaniPriyanka_CSVAnalyst_Grad2025.pdf,0.03,0.2467,37,150,0.1167
data/resumes/NandwaniPriyanka_OpenAI_Grad2025.pdf,0.0225,0.2533,38,150,0.1148
data/resumes/NandwaniPriyanka_Chewy_Grad2025.pdf,0.0315,0.2333,35,150,0.1122
data/resumes/NandwaniPriyanka_WalmartAnalyst_Grad2025.pdf,0.0312,0.2333,35,150,0.112
data/resumes/NandwaniPriyanka_CellaresCSV_Grad2025.pdf,0.0499,0.2,30,150,0.1099
data/resumes/NandwaniPriyanka_GoogleSE_Grad2025.pdf,0.0229,0.2333,35,150,0.107
data/resumes/NandwaniPriyanka_CharlesRiverLaboratories_Grad2025.pdf,0.0286,0.2067,31,150,0.0998
data/resumes/NandwaniPriyanka_CrateAndBarrel_Grad2025.pdf,0.0219,0.2,30,150,0.0931
data/resumes/NandwaniPriyanka_DeloitteUKG_Grad2025.pdf,0.0148,0.1933,29,150,0.0862
data/resumes/NandwaniPriyanka_DeloittteConsultant_Grad2025.pdf,0.0259,0.1733,26,150,0.0849
data/resumes/NandwaniPriyanka_DeloitteConsultant_Grad2025.pdf,0.0253,0.1733,26,150,0.0845
data/resumes/NandwaniPriyanka_Workiva_Grad2025.pdf,0.0157,0.1667,25,150,0.0761
data/resumes/PriyankaNandwani_SingleStore_CL.pdf,0.0438,0.12,18,150,0.0743
data/resumes/Priyanka Nandwani CL.pdf,0.0286,0.14,21,150,0.0732
